Collector_Emitter_Voltage_Vce,Leakage_Current_Ic
578.1939,4.303117e-06
578.6949,4.309694e-06
579.1964,4.316226e-06
579.6971,4.322732e-06
580.1786,4.329117e-06
580.6818,4.335746e-06
581.1819,4.34251e-06
581.684,4.349128e-06
582.1852,4.355799e-06
582.6873,4.362427e-06
583.187,4.369039e-06
583.6894,4.375745e-06
584.1918,4.382428e-06
584.6925,4.389228e-06
585.2307,4.396402e-06
585.7326,4.403072e-06
586.2344,4.409787e-06
586.7367,4.416484e-06
587.2382,4.423281e-06
587.7386,4.43005e-06
588.2392,4.436789e-06
588.7405,4.443575e-06
589.2441,4.450298e-06
589.7446,4.457128e-06
590.247,4.463923e-06
590.7468,4.470749e-06
591.248,4.477531e-06
591.7487,4.484233e-06
592.2503,4.491088e-06
592.7327,4.497669e-06
593.2352,4.504592e-06
593.7367,4.511443e-06
594.2366,4.518326e-06
594.7377,4.525071e-06
595.2949,4.532656e-06
595.7961,4.539738e-06
596.2982,4.546591e-06
596.8002,4.553458e-06
597.3015,4.560431e-06
597.7842,4.567094e-06
598.2841,4.573946e-06
598.7877,4.580922e-06
599.288,4.587896e-06
599.7892,4.594877e-06
600.29,4.601813e-06
600.792,4.608716e-06
601.2927,4.615633e-06
601.7938,4.622691e-06
602.2953,4.629748e-06
602.7974,4.636708e-06
603.2997,4.643711e-06
603.801,4.650663e-06
604.3022,4.657697e-06
604.801,4.664754e-06
605.3425,4.672495e-06
605.8436,4.679456e-06
606.3466,4.686439e-06
606.8481,4.693507e-06
607.3495,4.700616e-06
607.849,4.707802e-06
608.3522,4.7149e-06
608.8527,4.722101e-06
609.3536,4.729216e-06
609.8539,4.736307e-06
610.3361,4.743137e-06
610.8383,4.750459e-06
611.338,4.757674e-06
611.8404,4.76488e-06
612.343,4.77209e-06
612.843,4.779245e-06
613.3435,4.786466e-06
613.8448,4.793755e-06
614.3448,4.801047e-06
614.8482,4.808326e-06
615.4065,4.816419e-06
615.8855,4.823374e-06
616.3887,4.830791e-06
616.8892,4.838129e-06
617.392,4.845473e-06
617.893,4.852794e-06
618.3943,4.860149e-06
618.8945,4.86748e-06
619.3961,4.874931e-06
619.8959,4.882364e-06
620.3979,4.889842e-06
620.8997,4.897145e-06
621.4008,4.904544e-06
621.9023,4.912037e-06
622.4031,4.919644e-06
622.9042,4.927115e-06
623.3863,4.934348e-06
623.8887,4.941905e-06
624.3907,4.949438e-06
624.8918,4.956948e-06
625.4488,4.965422e-06
625.9494,4.973078e-06
626.4514,4.98072e-06
626.9515,4.988264e-06
627.4542,4.995885e-06
627.9556,5.003463e-06
628.4377,5.010996e-06
628.9382,5.018714e-06
629.4384,5.026446e-06
629.9392,5.03415e-06
630.4402,5.041792e-06
630.9437,5.049634e-06
631.4435,5.057437e-06
631.9468,5.065445e-06
632.4487,5.073264e-06
632.9483,5.08106e-06
633.4479,5.088979e-06
633.9495,5.096879e-06
634.4508,5.104927e-06
634.9517,5.112997e-06
635.4916,5.121574e-06
635.9924,5.129478e-06
636.4922,5.13742e-06
636.9967,5.145771e-06
637.4972,5.153825e-06
637.9964,5.161997e-06
638.4969,5.170178e-06
638.9985,5.178392e-06
639.5003,5.186594e-06
640.0026,5.194979e-06
640.5032,5.203337e-06
640.9866,5.211387e-06
641.4862,5.2197e-06
641.9886,5.228109e-06
642.4895,5.236654e-06
642.9879,5.245185e-06
643.4885,5.253708e-06
643.9905,5.262341e-06
644.4911,5.27107e-06
644.9922,5.279714e-06
645.5513,5.289584e-06
646.0323,5.298141e-06
646.5349,5.30713e-06
647.0358,5.316002e-06
647.5352,5.325011e-06
648.0351,5.334252e-06
648.5374,5.343561e-06
649.0398,5.352878e-06
649.5399,5.362404e-06
650.0417,5.371833e-06
550.5304,4.045838e-06
551.0311,4.048902e-06
551.532,4.05358e-06
552.0325,4.059038e-06
552.534,4.064875e-06
553.0351,4.070884e-06
553.5382,4.076898e-06
554.0391,4.083086e-06
554.5402,4.089189e-06
555.08,4.095847e-06
555.5812,4.102017e-06
556.0819,4.10834e-06
556.5841,4.114684e-06
557.0846,4.12097e-06
557.5855,4.127307e-06
558.0869,4.133664e-06
558.5874,4.13994e-06
559.0903,4.146362e-06
559.5911,4.15278e-06
560.0919,4.159292e-06
560.5951,4.1656e-06
561.0975,4.171946e-06
561.5969,4.178407e-06
562.0975,4.184929e-06
562.5801,4.191045e-06
563.0833,4.197502e-06
563.5843,4.203956e-06
564.0827,4.210306e-06
564.5868,4.216788e-06
565.143,4.224132e-06
565.6451,4.230601e-06
566.1469,4.237152e-06
566.6467,4.243519e-06
567.1442,4.249996e-06
567.6293,4.256258e-06
568.1282,4.262883e-06
568.6302,4.269396e-06
569.1335,4.275959e-06
569.6345,4.28252e-06
570.1361,4.289004e-06
570.6374,4.295527e-06
571.1395,4.302249e-06
571.6395,4.308919e-06
572.1403,4.315544e-06
572.6419,4.322102e-06
573.1437,4.328726e-06
573.6426,4.335322e-06
574.1466,4.342025e-06
574.6497,4.348683e-06
575.1865,4.355895e-06
575.6868,4.362508e-06
576.1879,4.36907e-06
576.6887,4.375772e-06
577.191,4.382587e-06
577.6918,4.389328e-06
578.1923,4.396005e-06
578.6957,4.402776e-06
579.1979,4.409382e-06
579.6979,4.416137e-06
580.1809,4.422593e-06
580.6818,4.429464e-06
581.183,4.436312e-06
581.6845,4.442964e-06
582.187,4.449687e-06
582.6869,4.456448e-06
583.1876,4.46319e-06
583.6904,4.470153e-06
584.1928,4.476979e-06
584.6929,4.483808e-06
585.229,4.491005e-06
585.7324,4.49791e-06
586.2352,4.504663e-06
586.7349,4.511603e-06
587.2384,4.518475e-06
587.7404,4.525396e-06
588.2404,4.532305e-06
588.7415,4.539137e-06
589.2451,4.546008e-06
589.7445,4.552953e-06
590.246,4.559934e-06
590.7476,4.566839e-06
591.2476,4.573782e-06
591.751,4.580716e-06
592.2527,4.587597e-06
592.7326,4.594289e-06
593.2357,4.601268e-06
593.7363,4.608355e-06
594.2381,4.615283e-06
594.741,4.622236e-06
595.2965,4.63002e-06
595.7974,4.637085e-06
596.2994,4.644132e-06
596.8014,4.65118e-06
597.3029,4.658237e-06
597.7858,4.665025e-06
598.2869,4.672093e-06
598.7878,4.679167e-06
599.2917,4.686315e-06
599.7917,4.693419e-06
600.2923,4.700468e-06
600.7923,4.707593e-06
601.2944,4.714677e-06
601.7974,4.721936e-06
602.2969,4.729e-06
602.7978,4.736246e-06
603.301,4.743416e-06
603.8015,4.750539e-06
604.3033,4.75759e-06
604.8038,4.764943e-06
605.3436,4.772723e-06
605.8441,4.779955e-06
606.3463,4.787077e-06
606.8475,4.794267e-06
607.3479,4.801474e-06
607.8501,4.80884e-06
608.3504,4.816113e-06
608.8531,4.823457e-06
609.3543,4.830674e-06
609.8552,4.837981e-06
610.3353,4.844939e-06
610.8381,4.852376e-06
611.3387,4.859724e-06
611.8409,4.8671e-06
612.3425,4.87443e-06
612.8427,4.881736e-06
613.3436,4.889175e-06
613.8447,4.896638e-06
614.3461,4.904063e-06
614.8465,4.911494e-06
615.4048,4.919696e-06
615.8871,4.926822e-06
616.3878,4.934283e-06
616.8903,4.941943e-06
617.3909,4.949398e-06
617.8926,4.956934e-06
618.3942,4.964364e-06
618.8937,4.971851e-06
619.3956,4.979461e-06
619.8966,4.987057e-06
620.3983,4.994753e-06
620.9006,5.002235e-06
621.3998,5.009807e-06
621.9023,5.017501e-06
622.4021,5.02512e-06
622.9033,5.032707e-06
623.3864,5.040137e-06
623.8869,5.04787e-06
624.3898,5.055511e-06
624.8899,5.063163e-06
625.448,5.071893e-06
625.9494,5.079644e-06
626.4524,5.087454e-06
626.9536,5.095187e-06
627.4552,5.10299e-06
627.9554,5.110761e-06
628.4382,5.118402e-06
628.9385,5.126286e-06
629.439,5.134156e-06
629.9428,5.142003e-06
630.4405,5.149698e-06
630.9424,5.157608e-06
631.4449,5.16581e-06
631.9469,5.173754e-06
632.4487,5.181842e-06
632.9489,5.189814e-06
633.4499,5.197781e-06
633.9492,5.205706e-06
634.4523,5.213918e-06
634.9545,5.222142e-06
635.4922,5.23089e-06
635.9948,5.238951e-06
636.495,5.247162e-06
636.9962,5.255351e-06
637.4979,5.263677e-06
637.9985,5.271952e-06
638.4991,5.280394e-06
639.0016,5.288677e-06
639.4994,5.297052e-06
640.0013,5.305411e-06
640.5009,5.313935e-06
640.9865,5.322164e-06
641.4876,5.330665e-06
641.988,5.339215e-06
642.4902,5.347771e-06
642.9861,5.356396e-06
643.488,5.365161e-06
643.9888,5.37387e-06
644.4922,5.382843e-06
644.9924,5.391576e-06
645.5487,5.401424e-06
646.0326,5.410023e-06
646.5335,5.419213e-06
647.0342,5.428168e-06
647.5367,5.43745e-06
648.0351,5.446543e-06
648.5365,5.455875e-06
649.0386,5.46519e-06
649.5406,5.474797e-06
650.0395,5.48448e-06
550.5301,4.198169e-06
551.0314,4.201315e-06
551.5325,4.206206e-06
552.033,4.211984e-06
552.5336,4.218123e-06
553.035,4.224315e-06
553.5352,4.23062e-06
554.038,4.237055e-06
554.5407,4.243399e-06
555.0792,4.25048e-06
555.579,4.256995e-06
556.0818,4.263583e-06
556.5818,4.270069e-06
557.084,4.276657e-06
557.5838,4.283089e-06
558.0847,4.289833e-06
558.5886,4.29646e-06
559.0905,4.303077e-06
559.5891,4.309611e-06
560.0916,4.316234e-06
560.5934,4.32288e-06
561.0958,4.329657e-06
561.5957,4.336339e-06
562.0968,4.342968e-06
562.5787,4.349368e-06
563.0809,4.356024e-06
563.5826,4.362863e-06
564.0851,4.36962e-06
564.5853,4.376378e-06
565.1437,4.383753e-06
565.6432,4.390498e-06
566.145,4.397216e-06
566.6439,4.404041e-06
567.1436,4.410894e-06
567.6268,4.417365e-06
568.1288,4.424151e-06
568.6298,4.430819e-06
569.1315,4.437674e-06
569.6341,4.444602e-06
570.1343,4.45142e-06
570.635,4.458231e-06
571.1377,4.465051e-06
571.6398,4.471834e-06
572.1402,4.478696e-06
572.6412,4.485588e-06
573.1413,4.492447e-06
573.6453,4.499326e-06
574.1462,4.506058e-06
574.6469,4.51302e-06
575.1874,4.520482e-06
575.688,4.527383e-06
576.1876,4.534269e-06
576.6896,4.541147e-06
577.1907,4.548017e-06
577.692,4.555056e-06
578.1934,4.562003e-06
578.6951,4.568967e-06
579.197,4.575936e-06
579.6985,4.582776e-06
580.1811,4.589514e-06
580.6817,4.596638e-06
581.184,4.603711e-06
581.6835,4.610666e-06
582.1855,4.61761e-06
582.6865,4.624575e-06
583.1888,4.631595e-06
583.6906,4.638722e-06
584.1913,4.645851e-06
584.6937,4.652891e-06
585.2299,4.660488e-06
585.7331,4.667541e-06
586.2339,4.674759e-06
586.7353,4.681875e-06
587.2379,4.68898e-06
587.7395,4.696168e-06
588.2406,4.703318e-06
588.7433,4.710437e-06
589.243,4.717637e-06
589.7451,4.724934e-06
590.2462,4.732135e-06
590.7476,4.739303e-06
591.2501,4.746431e-06
591.7501,4.753676e-06
592.2504,4.760969e-06
592.7338,4.767911e-06
593.2349,4.775182e-06
593.7362,4.78248e-06
594.2384,4.789728e-06
594.7401,4.796988e-06
595.2964,4.805172e-06
595.7964,4.812508e-06
596.2993,4.819794e-06
596.8011,4.827042e-06
597.3008,4.834349e-06
597.7836,4.841436e-06
598.2867,4.84879e-06
598.7872,4.856225e-06
599.288,4.863556e-06
599.7905,4.87088e-06
600.2914,4.878239e-06
600.7901,4.885637e-06
601.2924,4.893058e-06
601.7953,4.900525e-06
602.295,4.907829e-06
602.798,4.91525e-06
603.2975,4.922691e-06
603.801,4.930221e-06
604.3018,4.937668e-06
604.8043,4.945116e-06
605.3417,4.953124e-06
605.8434,4.960471e-06
606.3445,4.968012e-06
606.8474,4.975612e-06
607.3469,4.98313e-06
607.8475,4.990504e-06
608.3494,4.998044e-06
608.8508,5.005631e-06
609.3534,5.013216e-06
609.8521,5.020706e-06
610.3378,5.028063e-06
610.8364,5.03555e-06
611.3385,5.043013e-06
611.8398,5.050703e-06
612.341,5.058354e-06
612.8446,5.065925e-06
613.343,5.073492e-06
613.8441,5.081043e-06
614.3461,5.08874e-06
614.8465,5.096533e-06
615.4044,5.105064e-06
615.886,5.11246e-06
616.3879,5.120206e-06
616.8918,5.127865e-06
617.3896,5.135591e-06
617.8932,5.143491e-06
618.394,5.151318e-06
618.895,5.159062e-06
619.3958,5.166776e-06
619.8964,5.174575e-06
620.3972,5.18255e-06
620.8981,5.190316e-06
621.4012,5.198205e-06
621.9019,5.206058e-06
622.4025,5.21391e-06
622.904,5.221711e-06
623.3865,5.229461e-06
623.8881,5.237432e-06
624.3901,5.245347e-06
624.8907,5.253247e-06
625.4493,5.26218e-06
625.9498,5.270096e-06
626.4517,5.278232e-06
626.9531,5.286331e-06
627.4537,5.294414e-06
627.9542,5.302424e-06
628.4385,5.31017e-06
628.9379,5.318257e-06
629.4406,5.326521e-06
629.9412,5.334784e-06
630.4424,5.342887e-06
630.9431,5.351064e-06
631.4433,5.359229e-06
631.9453,5.367523e-06
632.4453,5.375834e-06
632.9473,5.38421e-06
633.4494,5.392527e-06
633.9503,5.400803e-06
634.4509,5.409116e-06
634.9518,5.417597e-06
635.4904,5.426657e-06
635.9927,5.435098e-06
636.4949,5.443525e-06
636.9957,5.452076e-06
637.4973,5.460502e-06
637.9991,5.469153e-06
638.4977,5.477715e-06
638.9979,5.486337e-06
639.5005,5.494995e-06
639.9999,5.503592e-06
640.5012,5.512354e-06
640.9835,5.520783e-06
641.4861,5.52962e-06
641.9869,5.538462e-06
642.4905,5.547397e-06
642.9861,5.556222e-06
643.4869,5.565096e-06
643.9893,5.574278e-06
644.4911,5.583439e-06
644.9908,5.592563e-06
645.5501,5.60276e-06
646.031,5.611614e-06
646.5322,5.621047e-06
647.0337,5.6305e-06
647.5351,5.639934e-06
648.0359,5.649551e-06
648.5375,5.659168e-06
649.0388,5.668834e-06
649.5425,5.67877e-06
650.042,5.688763e-06
550.5305,4.422694e-06
551.0312,4.426087e-06
551.5328,4.431284e-06
552.0329,4.437159e-06
552.5346,4.443317e-06
553.0338,4.449723e-06
553.5378,4.456235e-06
554.0388,4.462798e-06
554.5393,4.469421e-06
555.0797,4.476494e-06
555.58,4.483031e-06
556.0813,4.489837e-06
556.5817,4.49654e-06
557.0845,4.503346e-06
557.5847,4.510096e-06
558.0852,4.516844e-06
558.5875,4.523507e-06
559.0886,4.530341e-06
559.5917,4.537242e-06
560.0933,4.544109e-06
560.5943,4.55085e-06
561.0964,4.55768e-06
561.597,4.564549e-06
562.097,4.5715e-06
562.5804,4.578045e-06
563.0811,4.584989e-06
563.5813,4.591863e-06
564.0841,4.598718e-06
564.5856,4.605657e-06
565.1423,4.613448e-06
565.644,4.620427e-06
566.1452,4.627354e-06
566.6472,4.634369e-06
567.1448,4.641235e-06
567.6268,4.647905e-06
568.1302,4.655001e-06
568.6318,4.662006e-06
569.1314,4.669072e-06
569.6328,4.676116e-06
570.1348,4.682985e-06
570.6353,4.690033e-06
571.1371,4.697196e-06
571.6394,4.704255e-06
572.1385,4.711293e-06
572.6412,4.718328e-06
573.1415,4.725396e-06
573.643,4.732361e-06
574.1445,4.739575e-06
574.6466,4.746787e-06
575.1844,4.754478e-06
575.6854,4.761551e-06
576.1879,4.768606e-06
576.6893,4.775754e-06
577.1898,4.782934e-06
577.6923,4.790161e-06
578.1938,4.797274e-06
578.6946,4.804504e-06
579.1981,4.811631e-06
579.6976,4.818849e-06
580.1801,4.82586e-06
580.6823,4.833071e-06
581.1834,4.84022e-06
581.6838,4.847418e-06
582.1851,4.854551e-06
582.6862,4.861976e-06
583.1868,4.869275e-06
583.6902,4.876625e-06
584.1909,4.883833e-06
584.6923,4.891081e-06
585.2314,4.898962e-06
585.7336,4.906316e-06
586.2365,4.913728e-06
586.7381,4.920996e-06
587.2401,4.928292e-06
587.7399,4.935632e-06
588.2396,4.942945e-06
588.7437,4.95039e-06
589.2441,4.957758e-06
589.7464,4.96517e-06
590.2473,4.972526e-06
590.7473,4.97983e-06
591.2482,4.987359e-06
591.7519,4.994793e-06
592.2527,5.002214e-06
592.7337,5.009301e-06
593.2371,5.016705e-06
593.738,5.024148e-06
594.2397,5.03169e-06
594.7391,5.039106e-06
595.2963,5.047475e-06
595.7998,5.054824e-06
596.2981,5.062166e-06
596.7999,5.069587e-06
597.3029,5.077285e-06
597.7852,5.084521e-06
598.287,5.092083e-06
598.7888,5.099582e-06
599.2903,5.10716e-06
599.7911,5.114731e-06
600.2919,5.122419e-06
600.7912,5.130057e-06
601.2933,5.137749e-06
601.7949,5.14523e-06
602.296,5.152922e-06
602.7966,5.16056e-06
603.3002,5.168294e-06
603.8012,5.176018e-06
604.3026,5.183689e-06
604.8027,5.191403e-06
605.3427,5.199695e-06
605.8433,5.207344e-06
606.3455,5.215127e-06
606.846,5.222948e-06
607.3483,5.230728e-06
607.8491,5.238348e-06
608.351,5.246117e-06
608.8521,5.253954e-06
609.3547,5.261773e-06
609.853,5.26957e-06
610.3372,5.277056e-06
610.8387,5.284879e-06
611.3407,5.292678e-06
611.8408,5.300578e-06
612.3419,5.308551e-06
612.8439,5.316438e-06
613.3449,5.324376e-06
613.8458,5.332182e-06
614.3461,5.340082e-06
614.8477,5.348071e-06
615.4046,5.356912e-06
615.8886,5.364661e-06
616.3892,5.372624e-06
616.8889,5.380615e-06
617.3923,5.388606e-06
617.8935,5.396682e-06
618.3934,5.40475e-06
618.8954,5.412814e-06
619.3969,5.420804e-06
619.8964,5.428838e-06
620.3974,5.436923e-06
620.8986,5.445057e-06
621.3989,5.453267e-06
621.9006,5.461428e-06
622.4041,5.469506e-06
622.904,5.477633e-06
623.3873,5.485558e-06
623.8869,5.493754e-06
624.3912,5.501964e-06
624.8906,5.51027e-06
625.4467,5.519334e-06
625.9487,5.527538e-06
626.4502,5.535904e-06
626.9521,5.544171e-06
627.4551,5.552702e-06
627.9561,5.561068e-06
628.438,5.56901e-06
628.9368,5.577388e-06
629.4401,5.585884e-06
629.9404,5.594296e-06
630.442,5.602766e-06
630.9435,5.611239e-06
631.445,5.619705e-06
631.9457,5.628095e-06
632.4476,5.636778e-06
632.9476,5.64536e-06
633.4481,5.65403e-06
633.949,5.662532e-06
634.4512,5.6711e-06
634.9535,5.679791e-06
635.4917,5.689248e-06
635.9941,5.697942e-06
636.4955,5.706664e-06
636.9963,5.715432e-06
637.4975,5.724096e-06
637.9974,5.733005e-06
638.4979,5.741915e-06
639.001,5.750763e-06
639.5001,5.759697e-06
640.0026,5.768544e-06
640.5026,5.777471e-06
640.9857,5.786273e-06
641.4878,5.795311e-06
641.9885,5.8044e-06
642.4904,5.813617e-06
642.9852,5.822572e-06
643.4877,5.83176e-06
643.9899,5.841172e-06
644.492,5.850513e-06
644.9945,5.859878e-06
645.5492,5.870306e-06
646.0325,5.879434e-06
646.5355,5.888949e-06
647.0333,5.898675e-06
647.536,5.908483e-06
648.0359,5.918273e-06
648.5363,5.928095e-06
649.04,5.937882e-06
649.5419,5.948022e-06
650.0421,5.958273e-06
550.531,4.867918e-06
551.0318,4.871767e-06
551.5322,4.877348e-06
552.0339,4.883703e-06
552.5351,4.89037e-06
553.0366,4.897067e-06
553.5367,4.903953e-06
554.0396,4.910846e-06
554.5405,4.917991e-06
555.0804,4.925777e-06
555.5807,4.932676e-06
556.0836,4.939835e-06
556.5829,4.947e-06
557.0852,4.954079e-06
557.5865,4.961457e-06
558.0869,4.96862e-06
558.5882,4.97575e-06
559.0896,4.982928e-06
559.5918,4.990195e-06
560.0922,4.99749e-06
560.5935,5.004761e-06
561.0952,5.011966e-06
561.5978,5.019491e-06
562.0997,5.026725e-06
562.5807,5.033622e-06
563.081,5.041015e-06
563.5837,5.048481e-06
564.0866,5.055815e-06
564.5884,5.063126e-06
565.1446,5.071282e-06
565.6454,5.078833e-06
566.1461,5.086145e-06
566.6486,5.093599e-06
567.1451,5.100858e-06
567.6269,5.108083e-06
568.1289,5.115437e-06
568.6311,5.122833e-06
569.1331,5.130271e-06
569.6345,5.138016e-06
570.1348,5.14531e-06
570.6353,5.152645e-06
571.1386,5.160095e-06
571.6395,5.167749e-06
572.1417,5.175191e-06
572.6407,5.182681e-06
573.1434,5.190092e-06
573.6448,5.197756e-06
574.1472,5.205277e-06
574.6472,5.212748e-06
575.1851,5.220801e-06
575.6872,5.228711e-06
576.1895,5.236086e-06
576.6884,5.243486e-06
577.1906,5.250998e-06
577.6918,5.258571e-06
578.1942,5.266555e-06
578.6963,5.273899e-06
579.1969,5.281418e-06
579.699,5.28894e-06
580.1815,5.296548e-06
580.6833,5.304115e-06
581.1852,5.311775e-06
581.6855,5.319328e-06
582.188,5.327093e-06
582.6877,5.334645e-06
583.1885,5.342381e-06
583.6904,5.350073e-06
584.1936,5.357612e-06
584.694,5.365685e-06
585.2305,5.373734e-06
585.7325,5.381401e-06
586.2357,5.389004e-06
586.7365,5.397325e-06
587.2393,5.404826e-06
587.7401,5.412463e-06
588.2405,5.419929e-06
588.7441,5.428248e-06
589.2448,5.435923e-06
589.7454,5.44361e-06
590.2474,5.451322e-06
590.7474,5.459507e-06
591.249,5.467031e-06
591.7493,5.474968e-06
592.2535,5.482483e-06
592.7338,5.490626e-06
