Voltage,LeakageCurrent
482.6331,3.26E-06
485.6383,3.29E-06
488.6842,3.33E-06
491.6666,3.36E-06
494.6772,3.39E-06
497.6827,3.43E-06
500.6734,3.46E-06
503.7177,3.49E-06
506.7244,3.53E-06
509.7319,3.56E-06
512.7216,3.60E-06
515.7288,3.63E-06
518.7729,3.67E-06
521.7801,3.70E-06
524.7701,3.74E-06
527.7756,3.78E-06
530.7838,3.81E-06
533.8302,3.85E-06
536.8216,3.89E-06
539.8291,3.92E-06
542.8372,3.96E-06
545.8264,4.00E-06
548.8737,4.04E-06
551.8811,4.07E-06
554.889,4.11E-06
557.8804,4.15E-06
560.8879,4.19E-06
563.9315,4.23E-06
566.9371,4.27E-06
569.9282,4.31E-06
572.9346,4.35E-06
575.9444,4.39E-06
578.9918,4.43E-06
581.9797,4.47E-06
584.9872,4.51E-06
587.9984,4.55E-06
590.9854,4.59E-06
594.0339,4.63E-06
597.04,4.68E-06
600.0493,4.72E-06
1.007544,3.87E-09
4.012818,9.84E-09
7.020622,1.72E-08
10.06712,2.50E-08
13.05298,3.23E-08
16.06063,3.93E-08
19.06981,4.61E-08
22.05886,5.26E-08
25.11886,6.02E-08
28.10963,6.76E-08
31.117,7.52E-08
34.10474,8.26E-08
37.10919,9.00E-08
40.15348,9.78E-08
43.16329,1.06E-07
46.15052,1.17E-07
49.15695,1.27E-07
52.16578,1.38E-07
55.21102,1.49E-07
58.21588,1.55E-07
61.20414,1.71E-07
64.21207,1.83E-07
67.20079,1.95E-07
70.26233,2.07E-07
73.25152,2.19E-07
76.26191,2.31E-07
79.24922,2.43E-07
82.25669,2.55E-07
85.30381,2.68E-07
88.31175,2.80E-07
91.30058,2.92E-07
94.31123,3.05E-07
97.31842,3.18E-07
100.3644,3.31E-07
103.3713,3.44E-07
106.3616,3.57E-07
109.3699,3.71E-07
112.3551,3.84E-07
115.4182,3.97E-07
118.4096,4.11E-07
121.4171,4.25E-07
124.4062,4.39E-07
127.4157,4.53E-07
130.4616,4.68E-07
133.4692,4.82E-07
136.4588,4.97E-07
139.466,5.12E-07
142.4752,5.27E-07
145.519,5.43E-07
148.527,5.59E-07
151.5182,5.73E-07
154.5243,5.89E-07
157.5146,6.05E-07
160.5786,6.23E-07
163.5656,6.40E-07
166.5736,6.56E-07
169.5628,6.74E-07
172.5697,6.95E-07
175.6144,7.11E-07
178.6228,7.30E-07
181.6117,7.49E-07
184.6178,7.65E-07
187.623,7.86E-07
190.668,8.06E-07
193.675,8.23E-07
196.6634,8.44E-07
199.6716,8.63E-07
202.6602,8.82E-07
205.7236,9.06E-07
208.715,9.22E-07
211.7211,9.43E-07
214.7096,9.63E-07
217.7173,9.81E-07
220.7596,1.00E-06
223.7679,1.02E-06
226.7573,1.04E-06
229.7345,1.05E-06
232.1792,1.05E-06
235.8118,1.05E-06
238.8198,1.07E-06
241.8085,1.09E-06
244.8191,1.11E-06
247.8095,1.13E-06
250.8728,1.15E-06
253.8625,1.17E-06
256.8702,1.19E-06
259.8597,1.21E-06
262.8635,1.23E-06
265.9101,1.25E-06
268.9174,1.27E-06
271.9262,1.29E-06
274.9159,1.31E-06
277.9218,1.33E-06
280.968,1.35E-06
283.9762,1.37E-06
286.9666,1.39E-06
289.9745,1.41E-06
292.9636,1.43E-06
296.0269,1.46E-06
299.0184,1.48E-06
302.026,1.50E-06
305.015,1.52E-06
308.0797,1.54E-06
311.0677,1.57E-06
314.075,1.59E-06
317.0809,1.61E-06
320.071,1.63E-06
323.1169,1.66E-06
326.1225,1.68E-06
329.1299,1.70E-06
332.1194,1.72E-06
335.127,1.75E-06
338.1712,1.77E-06
341.1754,1.79E-06
344.1644,1.82E-06
347.1718,1.84E-06
350.1595,1.87E-06
353.222,1.89E-06
356.2118,1.91E-06
359.2202,1.94E-06
362.2281,1.96E-06
365.2172,1.99E-06
368.261,2.01E-06
371.268,2.04E-06
374.2753,2.06E-06
377.2636,2.09E-06
380.273,2.11E-06
383.3181,2.14E-06
386.3253,2.17E-06
389.3153,2.19E-06
392.3232,2.22E-06
395.3138,2.24E-06
398.3789,2.27E-06
401.3674,2.30E-06
404.3751,2.32E-06
407.3825,2.35E-06
410.3734,2.38E-06
413.4179,2.40E-06
416.4244,2.43E-06
419.4315,2.46E-06
422.4224,2.49E-06
425.429,2.52E-06
428.4741,2.54E-06
431.4826,2.57E-06
434.472,2.60E-06
437.4821,2.63E-06
440.4701,2.66E-06
443.5339,2.69E-06
446.5242,2.72E-06
449.5297,2.75E-06
452.5394,2.77E-06
455.528,2.80E-06
458.5718,2.83E-06
461.5815,2.86E-06
464.5876,2.90E-06
467.5773,2.93E-06
470.5847,2.96E-06
473.6289,2.99E-06
476.6362,3.02E-06
479.6269,3.05E-06
482.6337,3.08E-06
485.6419,3.11E-06
488.6859,3.14E-06
491.6707,3.18E-06
494.6797,3.21E-06
497.6845,3.24E-06
500.6727,3.27E-06
503.7201,3.31E-06
506.7257,3.34E-06
509.7332,3.37E-06
512.7242,3.41E-06
515.7313,3.44E-06
518.7747,3.47E-06
521.7827,3.51E-06
524.7698,3.54E-06
527.778,3.58E-06
530.7863,3.61E-06
533.8328,3.65E-06
536.8223,3.68E-06
539.8289,3.72E-06
542.8385,3.75E-06
545.8282,3.79E-06
548.8756,3.82E-06
551.8835,3.86E-06
554.8896,3.90E-06
557.8799,3.93E-06
560.8894,3.97E-06
563.9336,4.01E-06
566.9374,4.05E-06
569.9287,4.08E-06
572.9359,4.12E-06
575.9459,4.16E-06
578.9916,4.20E-06
581.9809,4.24E-06
584.9891,4.28E-06
587.9977,4.32E-06
590.9866,4.36E-06
594.0316,4.40E-06
597.0396,4.44E-06
600.0495,4.48E-06
1.009896,4.31E-09
4.013748,1.18E-08
7.020504,1.79E-08
10.06669,2.62E-08
13.05297,3.37E-08
16.05951,4.09E-08
19.06853,4.77E-08
22.05936,5.48E-08
25.11843,6.24E-08
28.11022,6.99E-08
31.1161,7.78E-08
34.10551,8.54E-08
37.11003,9.30E-08
40.15462,1.01E-07
43.16171,1.10E-07
46.15106,1.20E-07
49.1576,1.31E-07
52.16614,1.42E-07
55.21193,1.53E-07
58.21613,1.59E-07
61.20523,1.75E-07
64.21105,1.87E-07
67.20177,1.99E-07
70.26381,2.11E-07
73.25211,2.23E-07
76.26087,2.35E-07
79.25106,2.47E-07
82.25858,2.59E-07
85.30547,2.72E-07
88.3128,2.85E-07
91.30116,2.97E-07
94.31191,3.10E-07
97.31899,3.23E-07
100.3652,3.36E-07
103.3726,3.49E-07
106.3626,3.62E-07
109.3703,3.75E-07
112.356,3.89E-07
115.4199,4.02E-07
118.4105,4.16E-07
121.417,4.30E-07
124.4084,4.44E-07
127.4158,4.58E-07
130.462,4.73E-07
133.4705,4.88E-07
136.4592,5.02E-07
139.4674,5.17E-07
142.4746,5.32E-07
145.5193,5.48E-07
148.5277,5.64E-07
151.5181,5.79E-07
154.5254,5.95E-07
157.5146,6.12E-07
160.5777,6.29E-07
163.5662,6.44E-07
166.5743,6.63E-07
169.5637,6.79E-07
172.5713,6.98E-07
175.6168,7.18E-07
178.6237,7.34E-07
181.6124,7.54E-07
184.6199,7.73E-07
187.623,7.91E-07
190.6691,8.13E-07
193.6748,8.30E-07
196.6635,8.49E-07
199.6717,8.71E-07
202.659,8.88E-07
205.7225,9.10E-07
208.7129,9.29E-07
211.7203,9.47E-07
214.71,9.68E-07
217.7167,9.89E-07
220.7604,1.01E-06
223.7681,1.03E-06
226.7566,1.05E-06
229.6765,1.05E-06
231.7704,1.05E-06
235.8112,1.06E-06
238.8191,1.08E-06
241.8097,1.09E-06
244.8181,1.11E-06
247.8081,1.13E-06
250.8723,1.15E-06
253.8619,1.17E-06
256.8708,1.19E-06
259.8582,1.21E-06
262.8631,1.23E-06
265.91,1.25E-06
268.9165,1.27E-06
271.925,1.29E-06
274.915,1.31E-06
277.9227,1.33E-06
280.9682,1.36E-06
283.9759,1.38E-06
286.9662,1.40E-06
289.9738,1.42E-06
292.9622,1.44E-06
296.0276,1.46E-06
299.0174,1.48E-06
302.0259,1.50E-06
305.016,1.53E-06
308.0787,1.55E-06
311.0673,1.57E-06
314.0749,1.59E-06
317.0812,1.62E-06
320.0706,1.64E-06
323.1164,1.66E-06
326.1238,1.68E-06
329.1313,1.71E-06
332.1201,1.73E-06
335.1267,1.75E-06
338.1709,1.78E-06
341.1736,1.80E-06
344.1649,1.82E-06
347.1719,1.85E-06
350.1606,1.87E-06
353.2223,1.89E-06
356.2129,1.92E-06
359.222,1.94E-06
362.2287,1.97E-06
365.2172,1.99E-06
368.262,2.02E-06
371.2691,2.04E-06
374.2749,2.07E-06
377.264,2.09E-06
380.2734,2.12E-06
383.3192,2.14E-06
386.326,2.17E-06
389.3169,2.20E-06
392.3238,2.22E-06
395.3141,2.25E-06
398.3801,2.27E-06
401.3689,2.30E-06
404.3778,2.33E-06
407.3846,2.35E-06
410.3743,2.38E-06
413.4191,2.41E-06
416.4238,2.44E-06
419.4328,2.46E-06
422.4212,2.49E-06
425.4283,2.52E-06
428.4747,2.55E-06
431.4833,2.58E-06
434.4719,2.60E-06
437.4814,2.63E-06
440.47,2.66E-06
443.5336,2.69E-06
446.5241,2.72E-06
449.5314,2.75E-06
452.5385,2.78E-06
455.5294,2.81E-06
458.5727,2.84E-06
461.5804,2.87E-06
464.5883,2.90E-06
467.5771,2.93E-06
470.5847,2.96E-06
473.6306,2.99E-06
476.6357,3.02E-06
479.627,3.05E-06
482.634,3.08E-06
485.6417,3.12E-06
488.6843,3.15E-06
491.6707,3.18E-06
494.6782,3.21E-06
497.6858,3.24E-06
500.6737,3.28E-06
503.7199,3.31E-06
506.7267,3.34E-06
509.7341,3.38E-06
512.7244,3.41E-06
515.73,3.44E-06
518.7749,3.48E-06
521.7817,3.51E-06
524.7708,3.55E-06
527.7785,3.58E-06
530.7853,3.61E-06
533.8309,3.65E-06
536.8209,3.68E-06
539.8285,3.72E-06
542.8378,3.76E-06
545.8276,3.79E-06
548.8742,3.83E-06
551.8835,3.86E-06
554.8911,3.90E-06
557.8802,3.94E-06
560.8905,3.97E-06
563.9349,4.01E-06
566.9396,4.05E-06
569.9295,4.09E-06
572.9362,4.13E-06
575.9454,4.16E-06
578.9921,4.20E-06
581.9797,4.24E-06
584.9883,4.28E-06
587.9979,4.32E-06
590.9877,4.36E-06
594.0345,4.40E-06
597.0413,4.44E-06
600.0503,4.48E-06
1.007762,4.23E-09
4.013531,1.14E-08
7.02066,1.70E-08
10.0648,2.52E-08
13.05243,3.26E-08
16.06089,3.94E-08
19.06961,4.60E-08
22.05961,5.28E-08
25.12043,6.03E-08
28.11069,6.75E-08
31.11584,7.50E-08
34.10628,8.22E-08
37.10955,8.95E-08
40.15419,9.71E-08
43.1625,1.07E-07
46.15003,1.17E-07
49.15583,1.27E-07
52.16498,1.38E-07
55.21093,1.49E-07
58.21636,1.55E-07
61.20452,1.70E-07
64.21127,1.82E-07
67.20045,1.94E-07
70.26259,2.05E-07
73.25174,2.17E-07
76.2613,2.29E-07
79.25003,2.40E-07
82.25786,2.52E-07
85.30448,2.65E-07
88.31114,2.77E-07
91.29967,2.89E-07
94.31114,3.02E-07
97.31827,3.14E-07
100.3647,3.27E-07
103.371,3.40E-07
106.3605,3.53E-07
109.3698,3.66E-07
112.3552,3.79E-07
115.4198,3.92E-07
118.4094,4.05E-07
121.4181,4.19E-07
124.407,4.32E-07
127.4139,4.46E-07
130.4612,4.61E-07
133.4698,4.75E-07
136.4574,4.89E-07
139.4653,5.04E-07
142.4755,5.18E-07
145.5191,5.34E-07
148.5276,5.49E-07
151.518,5.64E-07
154.5249,5.80E-07
157.5151,5.95E-07
160.577,6.12E-07
163.5656,6.28E-07
166.5739,6.43E-07
169.5642,6.61E-07
172.5704,6.79E-07
175.6164,6.97E-07
178.6235,7.17E-07
181.6123,7.33E-07
184.618,7.52E-07
187.6217,7.72E-07
190.6678,7.89E-07
193.6736,8.08E-07
196.662,8.27E-07
199.6714,8.44E-07
202.6591,8.65E-07
205.723,8.86E-07
208.7133,9.02E-07
211.7211,9.25E-07
214.7085,9.43E-07
217.7164,9.63E-07
220.7596,9.86E-07
223.7679,1.00E-06
226.757,1.02E-06
229.7652,1.04E-06
232.7837,1.05E-06
235.8099,1.03E-06
238.8199,1.05E-06
241.8082,1.07E-06
244.8177,1.09E-06
247.8085,1.11E-06
250.8714,1.13E-06
253.8628,1.15E-06
256.8712,1.16E-06
259.8591,1.18E-06
262.8629,1.20E-06
265.9099,1.22E-06
268.9171,1.24E-06
271.9249,1.26E-06
274.9148,1.28E-06
277.9224,1.30E-06
280.9678,1.32E-06
283.9772,1.34E-06
286.9673,1.37E-06
289.9745,1.39E-06
292.9641,1.41E-06
296.028,1.43E-06
299.0177,1.45E-06
302.0255,1.47E-06
305.0144,1.49E-06
308.0782,1.51E-06
311.0661,1.54E-06
314.0742,1.56E-06
317.0797,1.58E-06
320.0701,1.60E-06
323.1155,1.62E-06
326.1226,1.65E-06
329.1299,1.67E-06
332.1197,1.69E-06
335.1266,1.71E-06
338.1697,1.74E-06
341.1758,1.76E-06
344.1635,1.78E-06
347.1711,1.81E-06
350.1595,1.83E-06
353.2224,1.85E-06
356.2116,1.88E-06
359.2191,1.90E-06
362.2278,1.92E-06
365.2182,1.95E-06
368.2616,1.97E-06
371.2701,2.00E-06
374.2759,2.02E-06
377.264,2.05E-06
380.2738,2.07E-06
383.3179,2.10E-06
386.3258,2.12E-06
389.317,2.15E-06
392.3233,2.17E-06
395.3142,2.20E-06
398.3801,2.23E-06
401.3667,2.25E-06
404.377,2.28E-06
407.3847,2.30E-06
410.3732,2.33E-06
413.4193,2.36E-06
416.4242,2.38E-06
419.4324,2.41E-06
422.4216,2.44E-06
425.4275,2.47E-06
428.4749,2.49E-06
431.4815,2.52E-06
434.4727,2.55E-06
437.4822,2.58E-06
440.4706,2.61E-06
443.5344,2.63E-06
446.5242,2.66E-06
449.531,2.69E-06
452.5405,2.72E-06
455.528,2.75E-06
458.5727,2.78E-06
461.5811,2.81E-06
464.5887,2.84E-06
467.5767,2.87E-06
470.5837,2.90E-06
473.6303,2.93E-06
476.6362,2.96E-06
479.6262,2.99E-06
482.634,3.02E-06
485.6416,3.05E-06
488.6853,3.08E-06
491.6709,3.11E-06
494.6786,3.15E-06
497.6843,3.18E-06
500.6728,3.21E-06
503.7192,3.24E-06
506.7245,3.27E-06
509.7322,3.31E-06
512.7237,3.34E-06
515.7302,3.37E-06
518.7762,3.41E-06
521.7833,3.44E-06
524.7711,3.47E-06
527.7794,3.51E-06
530.7861,3.54E-06
533.8317,3.58E-06
536.8212,3.61E-06
539.8278,3.64E-06
542.8394,3.68E-06
545.8276,3.71E-06
548.8738,3.75E-06
551.8839,3.79E-06
554.8907,3.82E-06
557.8806,3.86E-06
560.8909,3.89E-06
563.9342,3.93E-06
566.9388,3.97E-06
569.9292,4.01E-06
572.9357,4.04E-06
575.9448,4.08E-06
578.9898,4.12E-06
581.98,4.16E-06
584.989,4.20E-06
587.9985,4.23E-06
590.9869,4.27E-06
594.0336,4.31E-06
597.0418,4.35E-06
600.0496,4.39E-06
1.008198,3.10E-09
4.014071,1.01E-08
7.020038,1.50E-08
10.06687,2.19E-08
13.05425,2.85E-08
16.06352,3.50E-08
19.07143,4.19E-08
22.06,4.89E-08
25.12105,5.61E-08
28.11227,6.31E-08
31.11853,7.00E-08
34.10671,7.66E-08
37.11141,8.47E-08
40.15579,9.42E-08
43.16273,1.04E-07
46.153,1.14E-07
49.15911,1.24E-07
52.16812,1.35E-07
55.21193,1.45E-07
58.21743,1.51E-07
61.20604,1.66E-07
64.21288,1.77E-07
67.20296,1.88E-07
70.26511,2.00E-07
73.25343,2.11E-07
76.26236,2.22E-07
79.25056,2.33E-07
82.25896,2.45E-07
85.30547,2.57E-07
88.31168,2.69E-07
91.30253,2.81E-07
94.31321,2.93E-07
97.31996,3.05E-07
100.3648,3.17E-07
103.3727,3.30E-07
106.3617,3.42E-07
109.3707,3.55E-07
112.3564,3.68E-07
115.4196,3.80E-07
118.4092,3.94E-07
121.4171,4.06E-07
124.4079,4.19E-07
127.4145,4.33E-07
130.4613,4.47E-07
133.471,4.60E-07
136.4589,4.74E-07
139.4657,4.89E-07
142.4766,5.02E-07
145.5199,5.17E-07
148.5282,5.32E-07
151.5185,5.46E-07
154.526,5.62E-07
157.5154,5.76E-07
160.5777,5.92E-07
163.5663,6.08E-07
166.5747,6.24E-07
169.5639,6.39E-07
172.571,6.57E-07
175.6167,6.74E-07
178.6232,6.91E-07
181.6128,7.10E-07
184.6206,7.26E-07
187.6226,7.45E-07
190.6687,7.64E-07
193.6757,7.80E-07
196.6625,8.00E-07
199.6723,8.18E-07
202.6595,8.36E-07
205.7237,8.59E-07
208.713,8.75E-07
211.7212,8.94E-07
214.7103,9.15E-07
217.7182,9.32E-07
220.762,9.53E-07
223.7681,9.72E-07
226.7584,9.89E-07
229.7661,1.01E-06
232.7755,1.03E-06
235.8205,1.05E-06
238.6995,1.05E-06
240.8714,1.05E-06
244.8175,1.06E-06
247.8084,1.07E-06
250.8729,1.09E-06
253.862,1.11E-06
256.8702,1.13E-06
259.8597,1.15E-06
262.8636,1.17E-06
265.9093,1.19E-06
268.9177,1.21E-06
271.9255,1.23E-06
274.9146,1.25E-06
277.9232,1.27E-06
280.9682,1.29E-06
283.9778,1.31E-06
286.9675,1.33E-06
289.9753,1.35E-06
292.9642,1.37E-06
296.026,1.39E-06
299.0169,1.41E-06
302.0258,1.43E-06
305.0161,1.45E-06
308.0789,1.47E-06
311.067,1.49E-06
314.0752,1.51E-06
317.0813,1.54E-06
320.0721,1.56E-06
323.1167,1.58E-06
326.1242,1.60E-06
329.1309,1.62E-06
332.1197,1.64E-06
335.1262,1.67E-06
338.1717,1.69E-06
341.1762,1.71E-06
344.1635,1.73E-06
347.1729,1.76E-06
350.161,1.78E-06
353.2229,1.80E-06
356.2127,1.83E-06
359.2216,1.85E-06
362.2299,1.87E-06
365.2187,1.90E-06
368.2623,1.92E-06
371.2709,1.94E-06
374.277,1.97E-06
377.2645,1.99E-06
380.2732,2.02E-06
383.3178,2.04E-06
386.3264,2.07E-06
389.3163,2.09E-06
392.3243,2.12E-06
395.315,2.14E-06
398.3801,2.17E-06
401.3681,2.19E-06
404.3766,2.22E-06
407.3842,2.24E-06
410.3737,2.27E-06
413.4192,2.30E-06
416.4234,2.32E-06
419.4313,2.35E-06
422.4224,2.38E-06
425.428,2.40E-06
428.4741,2.43E-06
431.4826,2.46E-06
434.4732,2.48E-06
437.4821,2.51E-06
440.4695,2.54E-06
443.5348,2.57E-06
446.5234,2.60E-06
449.5302,2.62E-06
452.5388,2.65E-06
455.5297,2.68E-06
458.5736,2.71E-06
461.5821,2.74E-06
464.5871,2.77E-06
467.5767,2.80E-06
470.5848,2.83E-06
473.6307,2.86E-06
476.6368,2.89E-06
479.6272,2.92E-06
482.6337,2.95E-06
485.6418,2.98E-06
488.6842,3.01E-06
491.6701,3.04E-06
494.6788,3.07E-06
497.6845,3.10E-06
500.6735,3.13E-06
503.7183,3.16E-06
506.7273,3.19E-06
509.7322,3.23E-06
512.7238,3.26E-06
515.7307,3.29E-06
